page,name,name_uncertain,parens,year,year_uncertain,tech,players,prod,notes,raw_line,disposition,catalog_slug,catalog_conf,catalog_maker,catalog_year,ipdb_id,ipdb_conf,ipdb_maker,opdb_id,review
elettronolo,Scala Reale,,,1970,,,,,,Scala Reale,exists,scala-reale,high,elettrocoin,1970,4076,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
elettronolo,Summer Time,,kit for Gottliebs’ Solitaire – Hit a card,1970,,,,,,Summer Time (kit for Gottliebs’ Solitaire – Hit a card),exists,summer-time-4,high,elettrocoin,1970,4072,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",GrJED-MLOwz,
elettronolo,????,,,1970,,,,,,????,new-model-existing-maker,,,,,,,,,
elettronolo,Night Club,,,1970,,em,1,,,Night Club – em – 1p,exists,night-club-2,high,elettrocoin,,5003,high,"Elettrocoin, of Firenze (Florence), Italy (1965-1970)",,
elettronolo,Carnival,,,1970,,em,1,,(Subway),Carnival – em – 1p (Subway),new-model-existing-maker,carnival-2,low,sega-enterprises-ltd,1971,450,low,Bally Manufacturing Corporation (1931-1983) [Trade Name: Bally],GRBv9-MLXlL,yes
emmepi,Card King,,copy of same Gottlieb’s game,,,,,,,Card King (copy of same Gottlieb’s game),exists,card-king-3,high,emmepi,,6423,high,Emmepi,GRL9Q-MJpKr,
emmepi,Jungle Life,,copy of same Gottlieb’s game,,,,,,,Jungle Life (copy of same Gottlieb’s game),new-model-existing-maker,jungle-life-2,low,,,1337,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],G5B0y-MZeOe,yes
europlay,Sky Star,,,1974,,em,1,,(primo modello – presentato Fiera di Milano 73 o 74)(art: Mike),Sky Star – em – 1p (primo modello – presentato Fiera di Milano 73 o 74)(art: Mike),exists,sky-star,high,europlay,1974,5050,high,"Europlay, of Italy",G4xlK-MQkWr,
europlay,Tic & Toc,,,1974,,em,1,,(oct. 1974 – scritte in italiano – presentato Enada III),Tic & Toc – em – 1p (oct. 1974 – scritte in italiano – presentato Enada III),exists,tic-toc,high,europlay,1974,4079,high,"Europlay, of Italy",GRWwO-Mz2B6,
europlay,Big Dryvers,,,1974,,em,4,,,Big Dryvers – em – 4p,new-model-existing-maker,big-dryvers,low,mondialmatic,,4110,med,"Mondialmatic, of Florence, Italy (1979)",G43WO-MJYYV,yes
europlay,Big Dryvers,,,1974,,ss,4,,,Big Dryvers – ss – 4p,new-model-existing-maker,big-dryvers,low,mondialmatic,,4110,med,"Mondialmatic, of Florence, Italy (1979)",G43WO-MJYYV,yes
europlay,Tanga,,,1975,,em,1,,(scritte in italiano),Tanga – em – 1p (scritte in italiano),exists,tanga,high,europlay,1975,4080,high,"Europlay, of Italy",GryjX-MvBXe,
europlay,El Dorado,,,1976,,em,1,,"(esiste con vetro marcato “Europlay”, ma anche con vetro marcato “RMG”)","El Dorado – em – 1p (esiste con vetro marcato “Europlay”, ma anche con vetro marcato “RMG”)",exists,el-dorado-3,high,europlay,1976,5216,high,"Europlay, of Italy",GrEZ5-MDWv8,
europlay,Card Whiz,,,1976,,em,1,,,Card Whiz – em – 1p,exists,card-whiz-2,high,europlay,1976,4844,high,"Europlay, of Italy",GrEWx-MQPPX,
europlay,Red Arrow,,,1978,,em,1,,(by “New Europlay)(art: Mike)(first with “Biri Biri” feature),Red Arrow – em – 1p,exists,red-arrow-3,high,europlay,1978,4078,high,"Europlay, of Italy",G5WPp-MDbNj,
europlay,Royal King,,,1978,,em,1,,,Royal King – em – 1p,new-model-existing-maker,royal-king,low,renato-montanari-giochi,1976,4736,med,"Renato Montanari Giochi, of Bologna, Italy [Trade Name: R.M.G.]",G4JND-MP3qK,yes
europlay,Sky Fly,,,1978,,,,,,Sky Fly – F,exists,sky-fly,high,europlay,1978,5255,high,"Europlay, of Italy",G5Yqx-MKNjX,yes
europlay,Sinbad,,,1979,,em,1,,"(by “New Europlay)(“SiMbad” on the flyer and cabinet, “SiNbad” on the backglass and schematics)",Sinbad – em – 1p,new-model-existing-maker,sinbad-3,low,electromatic-brasil,1978,2159,low,"D. Gottlieb & Company, a Columbia Pictures Industries Company (1977-1983)[Trade Name: Gottlieb]",G4xqN-MD1Rj,yes
europlay,Dragon,,,1979,,em,1,,,Dragon – em – 1p,exists,dragon-6,high,europlay,1979,6298,high,"Europlay, of Italy",G4qPZ-ME0Nr,
europlay,Dragon,,,1979,,,,,,Dragon,exists,dragon-6,high,europlay,1979,6298,high,"Europlay, of Italy",G4qPZ-ME0Nr,
ferna,Steeple,yes,,1979,,,,,,Steeple (?),new-maker,,,,,,,,,
g_braun,copia del Galaxie Gottlieb’s,,,,,,,,,copia del Galaxie Gottlieb’s,new-maker,,,,,,,,,
gl,????,,,,,,,,,????,new-model-existing-maker,,,,,,,,,
gl,Jolly Joker,,,,,,,,,Jolly Joker,new-model-existing-maker,jolly-joker-2,low,united-manufacturing-company,1955,4113,med,"Mondialmatic, of Florence, Italy (1979)",GrlEB-ML0Pz,yes
gl,Golden Arrow,,,1978,,em,1,,,Golden Arrow – em – 1p,exists,golden-arrow-3,high,giuliano-lodola,1978,4082,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",G5WPp-MDBx9,
gl,Giunone,,Poseidon,1978,,em,1,,,Giunone (Poseidon) – em – 1p,exists,giunone,high,giuliano-lodola,1978,5178,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",,
gl,Rocky Girl,,Rock Star,1979,,em,1,,,Rocky Girl (Rock Star) – em – 1p,exists,rocky-girl,high,giuliano-lodola,,4084,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",GRbD8-M9Rqz,
gl,Rocky Girl,,Rock Star,1979,,ss,1,,,Rocky Girl (Rock Star) – ss – 1p,exists,rocky-girl,high,giuliano-lodola,,4084,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",GRbD8-M9Rqz,
gl,Basket World Trotter,,Harlem Globetrotters,1979,,ss,1,,,Basket World Trotter (Harlem Globetrotters) – ss – 1p,exists,basket-world-trotter,high,giuliano-lodola,1979,4083,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",,
gl,Basket World Trotter,,Harlem Globetrotters,1979,,ss,4,,,Basket World Trotter (Harlem Globetrotters) – ss – 4p,exists,basket-world-trotter,high,giuliano-lodola,1979,4083,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",,
gl,Black Hole,,Blackout,1980,,ss,4,,,Black Hole (Blackout) – ss – 4p,exists,black-hole-2,high,giuliano-lodola,1980,4087,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",GRwYo-MQ2RR,
gl,Black Rider,,Black Knight,1980,,ss,4,,,Black Rider (Black Knight) – ss – 4p,exists,black-rider,high,giuliano-lodola,1981,4085,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",GrO7w-Mo1Zl,
gl,Diablo,,,1980,,ss,4,,,Diablo – ss – 4p,new-model-existing-maker,,,,,,,,,
gl,Zoser,,Pharaoh,1981,,ss,4,,,Zoser (Pharaoh) – ss – 4p,exists,zoser,high,giuliano-lodola,1981,4086,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",,
gl,????,,,1981,,,,,,????,new-model-existing-maker,,,,,,,,,
gl,Space Woman,,GL ?,1981,,ss,4,,with “mixage record” feature,Space Woman (GL ?) – ss – 4p – with “mixage record” feature,new-model-existing-maker,space-woman,low,,,5951,low,Unknown Manufacturer,,yes
idi,Ice Mania,,,1978,,ss,4,,,Ice Mania – SS – 4p,exists,ice-mania,high,idi,,3911,high,"I.D.I., of Italy",G43DV-MBREl,
idi,Movie Master,,,1978,,ss,4,,,Movie Master – SS – 4p,new-model-existing-maker,,,,,,,,,
idi,Sky Warrior,,,1978,,ss,4,,,Sky Warrior – SS – 4p,exists,sky-warrior,high,idi,,3905,high,"I.D.I., of Italy",Gr3VN-MJ5qB,
idi,Tiger Woman,,,1978,,ss,4,,,Tiger Woman – SS – 4p,exists,tiger-woman,high,idi,,3904,high,"I.D.I., of Italy",G4eEJ-M61q0,
ipdb-flipper-kit-italiani-non-identificati,Time Out,,Bologna,,,,,,,Time Out (Bologna),new-maker,time-out-2,low,v-p-distributing-company,1944,4992,med,"Ripepi, of Messina, Italy",,yes
ipdb-flipper-kit-italiani-non-identificati,Hot Bullet,,,,,,,,,Hot Bullet,new-maker,hot-bullet,low,,1970,6421,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Hit and Run,,,,,,,,,Hit and Run,new-maker,hit-and-run,low,h-m-manufacturing-company,1933,3992,low,"H & M Manufacturing Company, of Chicago, Illinois, USA (1932-1933)",,yes
ipdb-flipper-kit-italiani-non-identificati,Stunt Cars,,,,,,,,,Stunt Cars,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,POOL,,"“Cue-T”, Williams",,,,,,,"POOL (“Cue-T”, Williams)",new-maker,pool,low,williams-electronics-games-incorporated-a-subsidiary-of-wms-industries-incorporated,,3717,low,"Williams Electronics Games, Incorporated, a subsidiary of WMS Ind., Incorporated (1985-1999) [Trade Name: Williams]",,yes
ipdb-flipper-kit-italiani-non-identificati,"Piu’ che un kit, parrebbe un vetro rifatto con nome differente per un CUE-T Williams. Viene riportato il costruttore originale (Williams), il flipper e’ un CUE-T, ma cambia il nome. Forse costruito per zone in cui il CUE-T era finito in qualche lista di giochi proibiti?",,,,,,,,,"Piu’ che un kit, parrebbe un vetro rifatto con nome differente per un CUE-T Williams. Viene riportato il costruttore originale (Williams), il flipper e’ un CUE-T, ma cambia il nome. Forse costruito per zone in cui il CUE-T era finito in qualche lista di giochi proibiti?",new-maker,,,,,,,,,yes
ipdb-flipper-kit-italiani-non-identificati,POKERRR!!!,,,,,,,,,POKERRR!!!,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Kit per Harmony/Troubadour,,,,,,,,,Kit per Harmony/Troubadour,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,KO,,,,,,,,"grafica by Lorenzo Rimondini, logo illeggibile ma volutamente simile a Gottlieb (in realta’ c’e’ scritto altro)",KO,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Baseball,,,,,,,,,Baseball,new-maker,baseball-10,low,bally-manufacturing-corporation,1936,184,low,"Stoner Manufacturing Company, of Aurora, Illinois, USA (1933-1941)",G4E2y-MJ5Pv,yes
ipdb-flipper-kit-italiani-non-identificati,Arrow,,,,,,,,,Arrow,new-maker,arrow-2,low,allied-amusement-company,1935,6454,med,"Ripepi, of Messina, Italy",,yes
ipdb-flipper-kit-italiani-non-identificati,AI-LO,,,,,,,,,AI-LO,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Thrills,,,,,,,,"(grafica di “De Angelis”, con firma sul piano di gioco, canale esterno desto; notare i due strani contatti di fianco all’outhole, montati sull’apron metallico, visibili in foto n.21, il cui utilizzo e’ sconosciuto)",Thrills,new-maker,thrills,low,,,5381,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Aquarium,,,,,,,,"looks like an italian kit inspired from the Gottlieb’s “Aquarius” – check the differencies (higher scoring, no credit window, score windows’ sizes reduced from behind, as if originally designed to fit old metal score wheels, etc)",Aquarium,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Lido,,,,,,,,(looks like a kit for a Gottlieb'”Subway” – maybe from Dama – art by Cortez?),Lido,new-maker,lido-2,low,,,1439,low,Bally Manufacturing Corporation (1931-1983) [Trade Name: Bally],,yes
ipdb-flipper-kit-italiani-non-identificati,Neptune,,,,,,,,,Neptune,new-maker,neptune-2,low,giuliano-lodola,1979,5177,med,"Giuliano Lodola, of Avenza, Massa-Carrera, Toscana, Italy (1978-1981)",GRoWo-MDllp,yes
ipdb-flipper-kit-italiani-non-identificati,El Viti,,,,,,,,(kit for Gottlieb’s Harmony/Troubadour),El Viti,new-maker,el-viti,low,,,5029,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Tex-Op,,,,,,,,(kit for Gottlieb’s Harmony/Troubadour),Tex-Op,new-maker,tex-op,low,,,5166,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Sky Devil’s,,,,,,,,,Sky Devil’s,new-maker,sky-devils,low,,,5160,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Fifteen Goals,,,,,,,,"(strange name for an italian game, too hard to remember for italian operators not speaking english – maybe, it’s not an italian kit?)",Fifteen Goals,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Card Trix,,,,,,,,"(this is not the RMG version, there are some little differences)",Card Trix,new-maker,card-trix-2,low,d-gottlieb-company,1970,446,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],GRWZN-MDv6X,yes
ipdb-flipper-kit-italiani-non-identificati,Happening,,ver.1,,,,,,(1970 – first work by Mike),Happening (ver.1),new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Happening,,ver.2,,,,,,,Happening (ver.2),new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,Full,,,,,,,,(grafica di Mike – forse lo stesso produttore del modello “Happening”),Full,new-maker,full-2,low,recreativos-franco,1977,4375,low,"Interflip S. A., of Spain",Gj6Dj-MOE0d,yes
ipdb-flipper-kit-italiani-non-identificati,Dig a Star,,,,,,,,(forse DAMA? forse grafica di Cortez?),Dig a Star,new-maker,dig-a-star,low,talleres-del-llobregat-sa-automaticos,1966,4422,low,"Talleres del Llobregat S.A. [Automaticos], of Barcelona, Spain [Trade Name: Automaticos]",,yes
ipdb-flipper-kit-italiani-non-identificati,The Royal,,,,,,,,,The Royal,new-maker,the-royal,low,,,6422,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Jolly Roger,,,,,,,,(kit for the Gottlieb’s “Harmony”/”Troubadour”),Jolly Roger,new-maker,jolly-roger-2,low,creative-products,,1314,low,"Williams Electronics, Incorporated (1967-1985) [Trade Name: Williams]",G4djP-MLnz0,yes
ipdb-flipper-kit-italiani-non-identificati,Grand Slam,,,,,,,,(forse kit RMG per Ice Show Gottlieb),Grand Slam,new-maker,grand-slam-10,low,,,1074,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],G4PL3-MLeBP,yes
ipdb-flipper-kit-italiani-non-identificati,Countdown,,,,,,,,,Countdown,new-maker,,,,,,,,,
ipdb-flipper-kit-italiani-non-identificati,El Tigre,,,,,,,,(kit with ss scoring for em machines),El Tigre,new-maker,el-tigre,low,,1977,5297,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,The Circus Tiger,,,,,,,,,The Circus Tiger,new-maker,the-circus-tiger,low,,,5215,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,New City,,,,,,,,(kit from the early seventies for Williams’ games “Hot Line” and “Big Strike”. One of the most sexually evocating graphics of them all!)(art by Cortez?),New City,new-maker,new-city-2,low,procedimientos-electromagneticos-de-tanteo-y-color,1966,4401,med,"Dama S.R.L., of Milan, Italy (1970)",,yes
ipdb-flipper-kit-italiani-non-identificati,"Vetro testata piu’ alto del precedente, probabilmente per flipper Williams dal vetro testata di misura differente",,,,,,,,,"Vetro testata piu’ alto del precedente, probabilmente per flipper Williams dal vetro testata di misura differente",new-maker,,,,,,,,,yes
ipdb-flipper-kit-italiani-non-identificati,Mini Flipper,,,,,,,,"(from eBay.it – not a pinball backglass, but taken from some pinball videogame with score displays. Maybe from Spain.)",Mini Flipper,new-maker,mini-flipper,low,rumatic,,5368,low,"Rumatic, of Spain",,yes
ipdb-flipper-kit-italiani-non-identificati,Cosmos,,,,,,,,(art by “Mr Maze”?),Cosmos,new-maker,cosmos-2,low,renov-automatic-jolux,1969,572,low,Bally Manufacturing Corporation (1931-1983) [Trade Name: Bally],G5p2Y-MDqKz,yes
ipdb-flipper-kit-italiani-non-identificati,Bowling,,,,,,,,(kit for Gottlieb’s “Harmony”/”Troubadour”),Bowling,new-maker,bowling-2,low,fabrica-de-aparatos-electro-mecanicos-recreativos-sl-ofmadrid,,5380,low,Unknown Manufacturer,,yes
ipdb-flipper-kit-italiani-non-identificati,Big Sakem,,,,,,,,,Big Sakem,new-maker,big-sakem,low,ripepi,1974,5622,med,"Ripepi, of Messina, Italy",,yes
italiana-biliardi,Pin football,,,1976,,,,,,Pin football,new-maker,,,,,,,,,
lori,Top Hand,,“Serigrafia Lori”,,,,,,,Top Hand (“Serigrafia Lori”),exists,top-hand-4,high,lori,,4990,high,"LORI, of Bologna, Italy",G4EeX-MLzRl,
lori,Jungle Life,,,,,,,,,Jungle Life,new-model-existing-maker,jungle-life-2,low,,,1337,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],G5B0y-MZeOe,yes
lori,Count-Down,,,,,,,,,Count-Down,new-model-existing-maker,count-down-2,low,novamatic-spa,1970,4118,med,"Novamatic S.p.A., of Milan, Italy (1970)",G56zB-MLv9k,yes
lori,KO,,,,,,,,,KO,new-model-existing-maker,,,,,,,,,
lori,Space Orbit,,,,,,,,,Space Orbit,new-model-existing-maker,space-orbit-2,low,skillgame-dba-renato-montanari-giochi,1972,4783,med,"Skillgame d.b.a. Renato Montanari Giochi, of Bologna, Italy [Trade Name: R.M.G.]",G43WO-M1rdV,yes
lori,Play Pool,,,,,,,,,Play Pool,exists,play-pool-2,high,lori,,5030,high,"LORI, of Bologna, Italy",G5n1Q-MXrnx,
mambelli,Buck Rogers,,,,,,,,,Buck Rogers,exists,buck-rogers,high,l-v-mambelli,,4999,high,"L & V Mambelli, of Cesena, Italy [Trade Name: Mambelli]",GRw8o-MDxjq,
mambelli,Gorgar,,kit for Jungle Life,,,,,,,Gorgar (kit for Jungle Life),new-model-existing-maker,gorgar,low,williams-electronics-incorporated,1979,1062,low,"Williams Electronics, Incorporated (1967-1985) [Trade Name: Williams]",G5zd6-MJVo4,yes
mambelli,Kiss,,kit for Space Orbit,,,,,,(immagini dalla collezione di Red Ronnie),Kiss (kit for Space Orbit),exists,kiss-2,high,l-v-mambelli,,5002,high,"L & V Mambelli, of Cesena, Italy [Trade Name: Mambelli]",G4jXr-MQ6kz,
manilamatic,Lucky Man,,,1976,,,,,,Lucky Man,new-model-existing-maker,lucky-man,low,nordamatic,1976,3713,med,"Nordamatic, of Verona, Italy (1975-1979)",G5wLN-MJ2YO,yes
manilamatic,???,,,1976,,,,,flipper elettronico presentato ultimo giorno Enada III | designer Tito Bresca,??? – flipper elettronico presentato ultimo giorno Enada III – designer Tito Bresca,new-model-existing-maker,,,,,,,,,
manilamatic,Out Law,,copia del Gottlieb’s “Tag Team”,1976,,,,,,Out Law (copia del Gottlieb’s “Tag Team”),exists,out-law,high,mm-computer-games,1986,4425,high,"MM Computer Games, of Roma, Italy [Trade Name: ManilaMatic]",G41N8-MNEEk,
manilamatic,Defender,,copia del Gottlieb’s “Arena”,1976,,,,,,Defender (copia del Gottlieb’s “Arena”),exists,defender,high,mm-computer-games,1987,4428,high,"MM Computer Games, of Roma, Italy [Trade Name: ManilaMatic]",G5p7D-MJNVo,
manilamatic,Joker,,copia del Gottlieb’s “Monte Carlo”,1976,,,,,,Joker (copia del Gottlieb’s “Monte Carlo”),new-model-existing-maker,joker-2,low,playmatic,1974,1304,low,D. Gottlieb & Company (1931-1977) [Trade Name: Gottlieb],G5vjP-M1rWj,yes
manilamatic,Pool Rabbit,,,1976,,,,,,Pool Rabbit,new-model-existing-maker,,,,,,,,,
manilamatic,Top Sound,,,1976,,,,,,Top Sound,exists,top-sound,high,mm-computer-games,1988,4431,high,"MM Computer Games, of Roma, Italy [Trade Name: ManilaMatic]",,
md,Las Vegas,,,,,,,,,Las Vegas,new-model-existing-maker,las-vegas-2,low,mattel-electronics-company,1977,4068,med,"Dama S.R.L., of Milan, Italy (1970)",G4Jzo-MQ7jl,yes
md,"A conversion kit for Gottlieb’s “Electra Pool”. It consisted of a new backglass, and a self-adhesive sheet to be applied on the original playfield.",,,,,,,,,"A conversion kit for Gottlieb’s “Electra Pool”. It consisted of a new backglass, and a self-adhesive sheet to be applied on the original playfield.",new-model-existing-maker,,,,,,,,,yes
model-racing,UFO,,video flipper,,,,,,,UFO (video flipper),exists,ufo,high,model-racing,,5314,high,"Model Racing, of Montemarciano - Ancona, Italy",,
model-racing,Satellite TV,,UFO re-run,,,,,,,Satellite TV (UFO re-run),new-model-existing-maker,,,,,,,,,
mondial-matic,Sisters,,Royal Pair,1979,,em,1,,,Sisters (Royal Pair) – em – 1p,exists,sisters,high,mondialmatic,,4108,high,"Mondialmatic, of Florence, Italy (1979)",G5WPp-MLyZJ,
mondial-matic,Take a card,,Texas Ranger,1979,,em,1,,,Take a card (Texas Ranger) – em – 1p,exists,take-a-card,high,mondialmatic,,4109,high,"Mondialmatic, of Florence, Italy (1979)",GrEXx-MJ5Yv,
mondial-matic,Big Dryvers,,Space Orbit,1979,,em,1,,,Big Dryvers (Space Orbit) – em – 1p,exists,big-dryvers,high,mondialmatic,,4110,high,"Mondialmatic, of Florence, Italy (1979)",G43WO-MJYYV,
mondial-matic,Cleopatra,,Play Pool,1979,,em,1,,,Cleopatra (Play Pool) – em – 1p,exists,cleopatra-play-pool,high,mondialmatic,,4111,high,"Mondialmatic, of Florence, Italy (1979)",G5n1Q-MQPRP,
mondial-matic,Lovers,,Sky Divers,1979,,em,1,,,Lovers (Sky Divers) – em – 1p,exists,lovers,high,mondialmatic,,4112,high,"Mondialmatic, of Florence, Italy (1979)",G4xlK-MJp6z,
mondial-matic,Jolly Joker,,,1979,,,,,,Jolly Joker,exists,jolly-joker-3,high,mondialmatic,1979,4113,high,"Mondialmatic, of Florence, Italy (1979)",GrlEB-ML0Pz,
mondial-matic,The Best Jump,,,1979,,,,,,The Best Jump,exists,the-best-jump,high,mondialmatic,1979,4114,high,"Mondialmatic, of Florence, Italy (1979)",G5pnl-MDWyn,
mrgame,Dakar,,,1988,,,,,,Dakar,exists,dakar,high,mr-game,,3629,high,"Mr. Game, of Bologna, Italy (1988-1990)",GR02j-MLy1Z,
mrgame,Motor Show,,,1989,,,,,,Motor Show,exists,motor-show,high,mr-game,,3631,high,"Mr. Game, of Bologna, Italy (1988-1990)",GRb2y-MZezV,
mrgame,Mac Attack,,game and flyer design by Toni Ramunni,1989,,,,,,Mac Attack (game and flyer design by Toni Ramunni),exists,mac-attack,high,mr-game,1989,3604,high,"Mr. Game, of Bologna, Italy (1988-1990)",GrJ07-MjB7X,
mrgame,World Cup ’90,,game and flyer design by Toni Ramunni,1990,,,,,,World Cup ’90 (game and flyer design by Toni Ramunni),exists,world-cup-90,high,mr-game,1990,3603,high,"Mr. Game, of Bologna, Italy (1988-1990)",G56Y8-MDlqK,
mrgame,Fast Track,,"low cost version of “Motor Show” for export to USA: b/w monitor, no videogames",1990,,,,,,"Fast Track (low cost version of “Motor Show” for export to USA: b/w monitor, no videogames)",exists,fast-track-2,high,mr-game,,5217,high,"Mr. Game, of Bologna, Italy (1988-1990)",,
nordamatic,Big Sakem,,Nordamatic – presentato alla 3a Enada,1974,,,,,,Big Sakem (Nordamatic – presentato alla 3a Enada),new-model-existing-maker,big-sakem,low,ripepi,1974,5622,med,"Ripepi, of Messina, Italy",,yes
nordamatic,Champion,,,1975,,em,1,,,Champion – em – 1p,exists,champion-replay-model,high,nordamatic,1975,487,low,Chicago Coin Machine Manufacturing Company (1932-1977),G5v11-ML0Nk,yes
nordamatic,Foot Baller,,,1975,,,,,,Foot Baller,exists,foot-baller,high,nordamatic,,4975,high,"Nordamatic, of Verona, Italy (1975-1979)",,
nordamatic,Explorer,,,1976,,em,1,,,Explorer – em – 1p,exists,explorer-2,high,nordamatic,1976,4117,high,"Nordamatic, of Verona, Italy (1975-1979)",G5VPX-MQjXJ,
nordamatic,Monte Carlo,,,1976,,em,1,,,Monte Carlo – em – 1p,exists,monte-carlo-5,high,nordamatic,1976,3746,high,"Nordamatic, of Verona, Italy (1975-1979)",G5Wl0-MJoR7,
nordamatic,Lucky Man,,,1976,,em,2,,,Lucky Man – em – 2p,exists,lucky-man,high,nordamatic,1976,3713,high,"Nordamatic, of Verona, Italy (1975-1979)",G5wLN-MJ2YO,
nordamatic,Card Castle,,,1977,,em,1,,,Card Castle – em – 1p,exists,card-castle,high,nordamatic,1977,3677,high,"Nordamatic, of Verona, Italy (1975-1979)",GRodq-M5RY1,
nordamatic,Saturn,,,1977,,em,1,,,Saturn – em – 1p,exists,saturn,high,nordamatic,1977,3723,high,"Nordamatic, of Verona, Italy (1975-1979)",G41bD-MQK0k,
nordamatic,Atlantis,,,1978,,em,1,,,Atlantis – em – 1p,exists,atlantis-3,high,nordamatic,1978,3690,high,"Nordamatic, of Verona, Italy (1975-1979)",G48OE-MD0bk,
nordamatic,Devil,,,1978,,em,1,,,Devil – em – 1p,exists,devil,high,nordamatic,1978,3702,high,"Nordamatic, of Verona, Italy (1975-1979)",GRbJN-Mz2yK,
nordamatic,Discomania,,,1979,,em,1,,,Discomania – em – 1p,exists,discomania,high,nordamatic,1979,6704,high,"Nordamatic, of Verona, Italy (1975-1979)",,
nordamatic,Antares,,,1979,,ss,4,,,Antares – ss – 4p,exists,antares,high,nordamatic,1979,3689,high,"Nordamatic, of Verona, Italy (1975-1979)",GRVyP-MW9ON,
pasini,Old Bend,,,,,,,,,Old Bend,new-model-existing-maker,,,,,,,,,
pasini,Old Gold,,,,,,,,,Old Gold,exists,old-gold,high,pasini,1970,5948,high,"Pasini, of Bologna, Italy",,
pasini,Old Time,,,,,,,,,Old Time,new-model-existing-maker,,,,,,,,,
pasini,Count Down,,,,,,,,,Count Down,new-model-existing-maker,count-down-2,low,novamatic-spa,1970,4118,med,"Novamatic S.p.A., of Milan, Italy (1970)",G56zB-MLv9k,yes
pasini,Bonnie ’70,,Bonnie & Clide ?,,,,,,,Bonnie ’70 (Bonnie & Clide ?),new-model-existing-maker,,,,,,,,,
pasini,Bonnie & Clide,,,,,,,,,Bonnie & Clide,new-model-existing-maker,,,,,,,,,
pc,Marte,,“Electra Pool”,,,,,,,Marte (“Electra Pool”),new-maker,marte,low,,,5942,low,Unknown Manufacturer,,yes
pinball-shop,Flesh and Blood,,“Pinball Champ”,,,,,,,Flesh and Blood (“Pinball Champ”),exists,flesh-and-blood,high,pinball-shop,,5157,high,"Pinball Shop, of Bologna, Italy",GrPdq-MnKwO,
pinball-shop,Gremlins,,,,,,,,,Gremlins,exists,gremlins,high,pinball-shop,1988,4595,high,"Pinball Shop, of Bologna, Italy",,
pinball-shop,Horror,,,,,,,,,Horror,exists,horror,high,pinball-shop,,5118,high,"Pinball Shop, of Bologna, Italy",G4jyz-M5REB,
pinball-shop,Kit di modifica per lo “Space Shuttle” Zaccaria,,,,,,,,,Kit di modifica per lo “Space Shuttle” Zaccaria,new-model-existing-maker,,,,,,,,,
playmec,Big Sakem,,rigenerato,1973,range:1973-74,,,,,Big Sakem (rigenerato),new-model-existing-maker,big-sakem,low,ripepi,1974,5622,med,"Ripepi, of Messina, Italy",,yes
playmec,Speed Rush,,,1975,,em,1,,,Speed Rush – em – 1p,exists,speed-rush,high,playmec,1975,4125,high,"Playmec, of Bologna, Italy (1975)",G4qln-MDbq6,
playmec,El Tigre,,,1976,yes,,,,,El Tigre,new-model-existing-maker,el-tigre,low,,1977,5297,low,Unknown Manufacturer,,yes
