entity_ref,field,value,ref,quote,note
model.red-arrow-3,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Red Arrow – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.royal-king,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Royal King – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.royal-king,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Royal King – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sinbad-adventures,year,1979,https://www.tilt.it/flipper_pinball/ipdb/europlay,Sinbad – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sinbad-adventures,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Sinbad – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sky-fly,year,1978,https://www.tilt.it/flipper_pinball/ipdb/europlay,Sky Fly – F,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sky-star,year,1974,https://www.tilt.it/flipper_pinball/ipdb/europlay,Sky Star – em – 1p (primo modello – presentato Fiera di Milano 73 o 74)(art: Mike),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sky-star,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Sky Star – em – 1p (primo modello – presentato Fiera di Milano 73 o 74)(art: Mike),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sky-star,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Sky Star – em – 1p (primo modello – presentato Fiera di Milano 73 o 74)(art: Mike),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tanga,year,1975,https://www.tilt.it/flipper_pinball/ipdb/europlay,Tanga – em – 1p (scritte in italiano),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tanga,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Tanga – em – 1p (scritte in italiano),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tanga,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Tanga – em – 1p (scritte in italiano),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tic-toc,year,1974,https://www.tilt.it/flipper_pinball/ipdb/europlay,Tic & Toc – em – 1p (oct. 1974 – scritte in italiano – presentato Enada III),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tic-toc,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/europlay,Tic & Toc – em – 1p (oct. 1974 – scritte in italiano – presentato Enada III),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tic-toc,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/europlay,Tic & Toc – em – 1p (oct. 1974 – scritte in italiano – presentato Enada III),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.basket-world-trotter,year,1979,https://www.tilt.it/flipper_pinball/ipdb/gl,Basket World Trotter (Harlem Globetrotters) – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.basket-world-trotter,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/gl,Basket World Trotter (Harlem Globetrotters) – ss – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.black-hole-2,year,1980,https://www.tilt.it/flipper_pinball/ipdb/gl,Black Hole (Blackout) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.black-hole-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/gl,Black Hole (Blackout) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.black-hole-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/gl,Black Hole (Blackout) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.black-rider,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/gl,Black Rider (Black Knight) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.black-rider,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/gl,Black Rider (Black Knight) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.giunone,year,1978,https://www.tilt.it/flipper_pinball/ipdb/gl,Giunone (Poseidon) – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.giunone,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/gl,Giunone (Poseidon) – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.golden-arrow-3,year,1978,https://www.tilt.it/flipper_pinball/ipdb/gl,Golden Arrow – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.golden-arrow-3,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/gl,Golden Arrow – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.golden-arrow-3,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/gl,Golden Arrow – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.rocky-girl,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/gl,Rocky Girl (Rock Star) – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-woman,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/gl,"Space Woman (GL ?) – ss – 4p – with ""mixage record"" feature",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-woman,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/gl,"Space Woman (GL ?) – ss – 4p – with ""mixage record"" feature",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.zoser,year,1981,https://www.tilt.it/flipper_pinball/ipdb/gl,Zoser (Pharaoh) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.zoser,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/gl,Zoser (Pharaoh) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.zoser,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/gl,Zoser (Pharaoh) – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.ice-mania,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/idi,Ice Mania – SS – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.movie-masters,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/idi,Movie Master – SS – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.movie-masters,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/idi,Movie Master – SS – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sky-warrior,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/idi,Sky Warrior – SS – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.tiger-woman,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/idi,Tiger Woman – SS – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lucky-man,year,1976,https://www.tilt.it/flipper_pinball/ipdb/manilamatic,Lucky Man,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cleopatra-play-pool,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/mondial-matic,Cleopatra (Play Pool) – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jolly-joker-3,year,1979,https://www.tilt.it/flipper_pinball/ipdb/mondial-matic,Jolly Joker,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lovers,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/mondial-matic,Lovers (Sky Divers) – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.take-a-card,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/mondial-matic,Take a card (Texas Ranger) – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-jump,year,1979,https://www.tilt.it/flipper_pinball/ipdb/mondial-matic,The Best Jump,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.mac-attack,year,1989,https://www.tilt.it/flipper_pinball/ipdb/mrgame,Mac Attack (game and flyer design by Toni Ramunni),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.world-cup-90,year,1990,https://www.tilt.it/flipper_pinball/ipdb/mrgame,World Cup '90 (game and flyer design by Toni Ramunni),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.antares,year,1979,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Antares – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.antares,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Antares – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.antares,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Antares – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.atlantis-3,year,1978,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Atlantis – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.atlantis-3,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Atlantis – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.atlantis-3,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Atlantis – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-sakem,year,1974,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Big Sakem (Nordamatic – presentato alla 3a Enada),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.card-castle,year,1977,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Card Castle – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.card-castle,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Card Castle – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.card-castle,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Card Castle – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.champion-replay-model,year,1975,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Champion – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.champion-replay-model,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Champion – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.champion-replay-model,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Champion – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil,year,1978,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Devil – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Devil – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Devil – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.discomania,year,1979,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Discomania – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.discomania,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Discomania – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.discomania,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Discomania – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.explorer-2,year,1976,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Explorer – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.explorer-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Explorer – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.explorer-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Explorer – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lucky-man,year,1976,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Lucky Man – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lucky-man,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Lucky Man – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.lucky-man,player_count,2,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Lucky Man – em – 2p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.monte-carlo-5,year,1976,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Monte Carlo – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.monte-carlo-5,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Monte Carlo – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.monte-carlo-5,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Monte Carlo – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.saturn,year,1977,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Saturn – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.saturn,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Saturn – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.saturn,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/nordamatic,Saturn – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.15pool,year,1976,https://www.tilt.it/flipper_pinball/ipdb/playmec,15° Pool,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jackpot-2,year,1976,https://www.tilt.it/flipper_pinball/ipdb/playmec,Jackpot,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.speed-rush,year,1975,https://www.tilt.it/flipper_pinball/ipdb/playmec,Speed Rush – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.speed-rush,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/playmec,Speed Rush – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.speed-rush,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/playmec,Speed Rush – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.gold-star-5,year,1976,https://www.tilt.it/flipper_pinball/ipdb/ripepi,Gold Star,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-valley-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Big Valley – em – 4p (copy of Bally ""Big Valley"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-valley-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Big Valley – em – 4p (copy of Bally ""Big Valley"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.flying-carpet-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Flying Carpet – em – 1p (1972) (copy of Gottlieb ""Flying Carpet"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.flying-carpet-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Flying Carpet – em – 1p (1972) (copy of Gottlieb ""Flying Carpet"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jungle-king-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Jungle King – em – 1p (copy of Gottlieb ""Jungle King"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.jungle-king-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Jungle King – em – 1p (copy of Gottlieb ""Jungle King"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.miss-theresine,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Miss Theresine – em – 1p (copy of Gottlieb ""Hi-Lo"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.miss-theresine,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Miss Theresine – em – 1p (copy of Gottlieb ""Hi-Lo"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.only-star,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Only Star – em – 1p (copy of Gottlieb ""Star Trek"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.only-star,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Only Star – em – 1p (copy of Gottlieb ""Star Trek"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.race-day,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Race Day – em – 1p (kit for Gottlieb ""Solitaire"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.race-day,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Race Day – em – 1p (kit for Gottlieb ""Solitaire"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-orbit-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Space Orbit – em – 1p (copy of Gottlieb ""Space Orbit"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-orbit-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Space Orbit – em – 1p (copy of Gottlieb ""Space Orbit"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.strike-4,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Strike – em – 1p (1973)(copy of Gottlieb ""Ten Up"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.strike-4,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/rmg,"Strike – em – 1p (1973)(copy of Gottlieb ""Ten Up"")",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.play-girl,year,1979,https://www.tilt.it/flipper_pinball/ipdb/romagnoli,Play Girl,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-corsair,year,1976,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,The Best Corsair (1976)(art: Mike),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-galaxie,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,The Best Galaxie – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-galaxie,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,The Best Galaxie – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-space-time,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,Space Time – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-space-time,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,Space Time – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-wizard,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,The Best Wizard – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-best-wizard,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/skill-game-the-best,The Best Wizard – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil-king,year,1987,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,"Devil King (re-release of Zaccaria's kit ""Mystic Star"") – ss – 4p",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil-king,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,"Devil King (re-release of Zaccaria's kit ""Mystic Star"") – ss – 4p",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil-king,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,"Devil King (re-release of Zaccaria's kit ""Mystic Star"") – ss – 4p",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hi-ball-3,year,1988,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,Hi Ball – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hi-ball-3,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,Hi Ball – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.scramble,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,Scramble – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-team,year,1988,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,Space Team – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.space-team,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,Space Team – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.x-force,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/tecnoplay,X Force – ss – 6p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.aerobatics,year,1977,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Aerobatics – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.aerobatics,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Aerobatics – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.aerobatics,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Aerobatics – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.blackbelt,year,1986,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Blackbelt – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.blackbelt,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Blackbelt – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.blackbelt,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Blackbelt – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cine-star,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Cine Star – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cine-star,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Cine Star – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.circus-4,year,1977,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Circus – 4p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.circus-4,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Circus – 4p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.circus-4,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Circus – 4p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.clown,year,1985,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Clown – ss – 4p – 07/85,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.clown,month,7,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Clown – ss – 4p – 07/85,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.clown,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Clown – ss – 4p – 07/85,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.clown,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Clown – ss – 4p – 07/85,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.combat,year,1977,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Combat – 4p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.combat,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Combat – 4p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.combat,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Combat – 4p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil-riders,year,1984,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Devil Riders – ss – 4p – 04/84,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil-riders,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Devil Riders – ss – 4p – 04/84,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.devil-riders,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Devil Riders – ss – 4p – 04/84,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.earth-wind-fire,year,1981,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,"Earth, Wind & Fire – ss – 4p – 04/81",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.earth-wind-fire,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,"Earth, Wind & Fire – ss – 4p – 04/81",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.earth-wind-fire,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,"Earth, Wind & Fire – ss – 4p – 04/81",same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.farfalla,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Farfalla – ss – 4p – 09/83,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fire-mountain,year,1980,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Fire Mountain – ss – 4p – 01/80,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fire-mountain,month,1,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Fire Mountain – ss – 4p – 01/80,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fire-mountain,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Fire Mountain – ss – 4p – 01/80,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.fire-mountain,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Fire Mountain – ss – 4p – 01/80,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.future-world,year,1978,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Future World – 4p – ss – 10/78,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.future-world,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Future World – 4p – ss – 10/78,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.future-world,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Future World – 4p – ss – 10/78,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.granada-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Granada(?) – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.granada-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Granada(?) – 1p – em,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hot-wheels,year,1979,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,Hot Wheels – 4p – ss – 09/79,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
